Code,Name,OfficialName,OtherNames,Level,M49Code,ContinentCode,SubregionCode,CountryCode,CountryCodeISOa3,SubdivisionCode,Lat,Lon,Population,GleamID
G-AFA,San Rafael,,,gleam_basin,,W-SA,,AR,ARG,,,,109000.0,3183
G-AFL,Alta Floresta,,,gleam_basin,,W-SA,,BR,BRA,,,,40000.0,1942
G-AFS,Zarafshan,,,gleam_basin,,W-AS,,UZ,UZB,,,,,2836
G-AFZ,Sabzevar,,,gleam_basin,,W-AS,,IR,IRN,,,,226000.0,2930
G-AGA,Agadir,,,gleam_basin,,W-AF,,MA,MAR,,,,825000.0,810
G-AGB,Augsburg,,,gleam_basin,,W-EU,,DE,DEU,,,,359000.0,724
G-AGF,Agen,,,gleam_basin,,W-EU,,FR,FRA,,,,58000.0,1489
G-AGH,Angelholm,,,gleam_basin,,W-EU,,SE,SWE,,,,,2551
G-AGP,Malaga,,,gleam_basin,,W-EU,,ES,ESP,,,,550000.0,2873
G-AGR,Agra,,,gleam_basin,,W-AS,,IN,IND,,,,1592000.0,1040
G-AGS,Augusta (US-GA),,,gleam_basin,,W-NA,,US,USA,,,,,2055
G-AGT,Ciudad del Este,,,gleam_basin,,W-SA,,PY,PRY,,,,321000.0,243
G-AGU,Aguascalientes,,,gleam_basin,,W-NA,,MX,MEX,,,,869000.0,980
G-AGX,Agatti Island,,,gleam_basin,,W-AS,,IN,IND,,,,,1039
G-AHB,Abha,,,gleam_basin,,W-AS,,SA,SAU,,,,211000.0,259
G-AHN,Athens (US),,,gleam_basin,,W-NA,,US,USA,,,,,2278
G-AHO,Alghero,,,gleam_basin,,W-EU,,IT,ITA,,,,34000.0,3084
G-AHU,Al Hoceima,,,gleam_basin,,W-AF,,MA,MAR,,,,396000.0,818
G-AIA,Alliance,,,gleam_basin,,W-NA,,US,USA,,,,32000.0,2238
G-AIN,Wainwright,,,gleam_basin,,W-NA,,US,USA,,,,,2292
