Code,Date,EstimatedInfectous
LI,2020-03-31 00:00:00,2500
LI,2020-04-02 00:00:00,2500
LK,2020-03-24 00:00:00,970
LK,2020-03-25 00:00:00,1020
LK,2020-03-27 00:00:00,1020
LK,2020-03-30 00:00:00,1060
LK,2020-03-31 00:00:00,2605
LK,2020-04-02 00:00:00,706
LR,2020-03-25 00:00:00,280
LR,2020-03-27 00:00:00,280
LR,2020-03-30 00:00:00,280
LR,2020-03-31 00:00:00,500
LR,2020-04-02 00:00:00,500
LT,2020-03-24 00:00:00,1232
LT,2020-03-25 00:00:00,2130
LT,2020-03-27 00:00:00,2130
LT,2020-03-30 00:00:00,3450
LT,2020-03-31 00:00:00,9398
LT,2020-04-02 00:00:00,7263
LU,2020-03-24 00:00:00,8750
LU,2020-03-25 00:00:00,10990
LU,2020-03-27 00:00:00,10990
LU,2020-03-30 00:00:00,16050
LU,2020-03-31 00:00:00,34370
LU,2020-04-02 00:00:00,22686
LV,2020-03-24 00:00:00,1440
LV,2020-03-25 00:00:00,1550
LV,2020-03-27 00:00:00,1550
LV,2020-03-30 00:00:00,2240
LV,2020-03-31 00:00:00,3840
LV,2020-04-02 00:00:00,3800
LY,2020-03-25 00:00:00,30
LY,2020-03-27 00:00:00,30
LY,2020-03-30 00:00:00,30
MA,2020-03-24 00:00:00,1430
MA,2020-03-25 00:00:00,1700
MA,2020-03-27 00:00:00,1700
MA,2020-03-30 00:00:00,6660
MA,2020-03-31 00:00:00,27699
MA,2020-04-02 00:00:00,23055
MC,2020-03-25 00:00:00,250
MC,2020-03-27 00:00:00,250
MC,2020-03-30 00:00:00,350
MC,2020-03-31 00:00:00,954
MC,2020-04-02 00:00:00,280
MD,2020-03-24 00:00:00,940
MD,2020-03-25 00:00:00,1250
MD,2020-03-27 00:00:00,1250
MD,2020-03-30 00:00:00,1990
MD,2020-03-31 00:00:00,5047
MD,2020-04-02 00:00:00,3526
ME,2020-03-25 00:00:00,940
ME,2020-03-27 00:00:00,940
ME,2020-03-30 00:00:00,1400
ME,2020-03-31 00:00:00,2800
ME,2020-04-02 00:00:00,2800
MG,2020-03-25 00:00:00,420
MG,2020-03-27 00:00:00,420
MG,2020-03-30 00:00:00,490
MG,2020-03-31 00:00:00,760
MG,2020-04-02 00:00:00,800
MK,2020-03-25 00:00:00,1624
MK,2020-03-27 00:00:00,1624
MK,2020-03-30 00:00:00,2458
MK,2020-03-31 00:00:00,7210
MK,2020-04-02 00:00:00,4729
MM,2020-03-25 00:00:00,50
MM,2020-03-27 00:00:00,50
MM,2020-03-30 00:00:00,70
MN,2020-03-25 00:00:00,120
MN,2020-03-27 00:00:00,120
MN,2020-03-30 00:00:00,130
MN,2020-03-31 00:00:00,230
MN,2020-04-02 00:00:00,5
MP,2020-03-25 00:00:00,20
MP,2020-03-27 00:00:00,20
MR,2020-03-25 00:00:00,270
MR,2020-03-27 00:00:00,270
MR,2020-03-30 00:00:00,280
MR,2020-03-31 00:00:00,3000
MR,2020-04-02 00:00:00,3000
MT,2020-03-24 00:00:00,856
MT,2020-03-25 00:00:00,1100
MT,2020-03-27 00:00:00,1100
MT,2020-03-30 00:00:00,1390
MT,2020-03-31 00:00:00,2700
MT,2020-04-02 00:00:00,2700
MU,2020-03-25 00:00:00,960
MU,2020-03-27 00:00:00,960
MU,2020-03-30 00:00:00,1880
MU,2020-03-31 00:00:00,7000
MU,2020-04-02 00:00:00,4000
MV,2020-03-25 00:00:00,150
MV,2020-03-27 00:00:00,150
MV,2020-03-30 00:00:00,150
MV,2020-03-31 00:00:00,200
MV,2020-04-02 00:00:00,200
MX,2020-03-24 00:00:00,3160
MX,2020-03-25 00:00:00,11010
MX,2020-03-27 00:00:00,11010
MX,2020-03-30 00:00:00,17550
MX,2020-03-31 00:00:00,39655
MX,2020-04-02 00:00:00,18543
MY,2020-03-24 00:00:00,16217
MY,2020-03-25 00:00:00,20771
MY,2020-03-27 00:00:00,20771
MY,2020-03-30 00:00:00,27150
MY,2020-03-31 00:00:00,32918
MY,2020-04-02 00:00:00,10569
MZ,2020-03-25 00:00:00,50
MZ,2020-03-27 00:00:00,50
MZ,2020-03-30 00:00:00,90
NA,2020-03-25 00:00:00,133
NA,2020-03-27 00:00:00,133
NA,2020-03-30 00:00:00,143
NA,2020-03-31 00:00:00,400
NA,2020-04-02 00:00:00,400
NE,2020-03-25 00:00:00,320
NE,2020-03-27 00:00:00,320
NE,2020-03-30 00:00:00,600
NE,2020-03-31 00:00:00,8000
NE,2020-04-02 00:00:00,8000
NG,2020-03-25 00:00:00,920
NG,2020-03-27 00:00:00,920
NG,2020-03-30 00:00:00,1400
NG,2020-03-31 00:00:00,10000
NG,2020-04-02 00:00:00,7411
NI,2020-03-25 00:00:00,270
NI,2020-03-27 00:00:00,270
NI,2020-03-30 00:00:00,520
NI,2020-03-31 00:00:00,2000
NI,2020-04-02 00:00:00,2000
NL,2020-03-24 00:00:00,218880
NL,2020-03-25 00:00:00,277400
NL,2020-03-27 00:00:00,277400
NL,2020-03-30 00:00:00,524010
NL,2020-03-31 00:00:00,825615
NL,2020-04-02 00:00:00,600000
NO,2020-03-24 00:00:00,18280
NO,2020-03-25 00:00:00,22586
NO,2020-03-27 00:00:00,22586
NO,2020-03-30 00:00:00,33715
NO,2020-03-31 00:00:00,50000
NO,2020-04-02 00:00:00,46866
NP,2020-03-25 00:00:00,270
NP,2020-03-27 00:00:00,270
NP,2020-03-30 00:00:00,290
NP,2020-03-31 00:00:00,2000
NP,2020-04-02 00:00:00,2000
NZ,2020-03-24 00:00:00,816
NZ,2020-03-25 00:00:00,2050
NZ,2020-03-27 00:00:00,2050
NZ,2020-03-30 00:00:00,1840
NZ,2020-03-31 00:00:00,4800
NZ,2020-04-02 00:00:00,4800
OM,2020-03-24 00:00:00,660
OM,2020-03-25 00:00:00,840
OM,2020-03-27 00:00:00,840
OM,2020-03-30 00:00:00,1310
OM,2020-03-31 00:00:00,836
OM,2020-04-02 00:00:00,503
PA,2020-03-24 00:00:00,4748
PA,2020-03-25 00:00:00,8123
PA,2020-03-27 00:00:00,8123
PA,2020-03-30 00:00:00,10570
PA,2020-03-31 00:00:00,31855
PA,2020-04-02 00:00:00,19775
PE,2020-03-24 00:00:00,3630
PE,2020-03-25 00:00:00,4160
PE,2020-03-27 00:00:00,4160
PE,2020-03-30 00:00:00,6350
PE,2020-03-31 00:00:00,24690
PE,2020-04-02 00:00:00,22613
PG,2020-03-25 00:00:00,260
PG,2020-03-27 00:00:00,260
PG,2020-03-30 00:00:00,260
PG,2020-03-31 00:00:00,520
PG,2020-04-02 00:00:00,250
PH,2020-03-24 00:00:00,3942
PH,2020-03-25 00:00:00,11588
PH,2020-03-27 00:00:00,11588
PH,2020-03-30 00:00:00,14765
PH,2020-03-31 00:00:00,52565
PH,2020-04-02 00:00:00,37282
PK,2020-03-24 00:00:00,21875
PK,2020-03-25 00:00:00,30000
PK,2020-03-27 00:00:00,30000
PK,2020-03-30 00:00:00,38880
PK,2020-03-31 00:00:00,56875
PK,2020-04-02 00:00:00,16429
PL,2020-03-24 00:00:00,5992
PL,2020-03-25 00:00:00,8296
PL,2020-03-27 00:00:00,8296
PL,2020-03-30 00:00:00,15688
PL,2020-03-31 00:00:00,40702
PL,2020-04-02 00:00:00,23668
PR,2020-03-25 00:00:00,620
PR,2020-03-27 00:00:00,620
PR,2020-03-30 00:00:00,1580
PS,2020-03-30 00:00:00,1820
PT,2020-03-24 00:00:00,28700
PT,2020-03-25 00:00:00,44115
PT,2020-03-27 00:00:00,44115
PT,2020-03-30 00:00:00,82140
PT,2020-03-31 00:00:00,205075
PT,2020-04-02 00:00:00,113697
PY,2020-03-25 00:00:00,740
PY,2020-03-27 00:00:00,740
PY,2020-03-30 00:00:00,1040
PY,2020-03-31 00:00:00,1424
PY,2020-04-02 00:00:00,863
QA,2020-03-24 00:00:00,2400
QA,2020-03-25 00:00:00,2400
QA,2020-03-27 00:00:00,2400
QA,2020-03-30 00:00:00,2400
QA,2020-03-31 00:00:00,846
QA,2020-04-02 00:00:00,584
RO,2020-03-24 00:00:00,4608
RO,2020-03-25 00:00:00,9060
RO,2020-03-27 00:00:00,9060
RO,2020-03-30 00:00:00,12920
RO,2020-03-31 00:00:00,51407
RO,2020-04-02 00:00:00,37884
RS,2020-03-24 00:00:00,2490
RS,2020-03-25 00:00:00,3030
RS,2020-03-27 00:00:00,3030
RS,2020-03-30 00:00:00,5280
RS,2020-03-31 00:00:00,16442
RS,2020-04-02 00:00:00,13663
RU,2020-03-24 00:00:00,4380
RU,2020-03-25 00:00:00,6580
RU,2020-03-27 00:00:00,6580
RU,2020-03-30 00:00:00,10360
RU,2020-03-31 00:00:00,23740
RU,2020-04-02 00:00:00,36748
RW,2020-03-25 00:00:00,800
RW,2020-03-27 00:00:00,800
